iter	Passed	Remaining
465	748	858
466	750	856
467	751	854
468	753	852
469	755	851
470	756	849
471	757	847
472	758	845
473	760	844
474	761	842
475	762	839
476	764	837
477	765	836
478	767	834
479	768	832
480	769	830
481	770	828
482	772	827
483	774	825
484	775	823
485	776	821
486	778	819
487	779	818
488	781	816
489	782	814
490	783	812
491	784	810
492	786	808
493	787	806
494	788	804
495	789	802
496	791	800
497	792	798
498	793	796
499	794	794
500	795	792
501	796	790
502	798	788
503	799	786
504	800	784
505	801	782
506	802	780
507	804	779
508	805	777
509	806	775
510	808	773
511	809	771
512	810	769
513	811	767
514	812	765
515	813	763
516	814	761
517	816	759
518	817	757
519	818	755
520	819	753
521	820	751
522	822	749
523	823	747
524	824	745
525	825	743
526	826	741
527	827	739
528	828	737
529	829	735
530	831	734
531	832	732
532	833	730
533	834	728
534	835	726
535	837	724
536	838	722
537	839	720
538	840	718
539	841	716
540	842	714
541	843	712
542	844	711
543	846	709
544	847	707
545	848	705
546	850	704
547	851	702
548	853	700
549	854	699
550	855	697
551	856	695
552	857	693
553	859	691
554	860	689
555	861	688
556	862	686
557	863	684
558	865	682
559	866	680
560	867	678
561	868	677
562	869	675
563	871	673
564	872	671
565	873	669
566	874	668
567	875	666
568	876	664
569	878	662
570	879	660
571	880	658
572	881	657
573	883	655
574	884	653
575	885	651
576	886	650
577	888	648
578	889	646
579	890	644
580	891	643
581	893	641
582	894	639
583	895	637
584	897	636
585	898	634
586	899	632
587	900	631
588	901	629
589	903	627
590	904	625
591	905	624
592	906	622
593	907	620
594	909	618
595	910	617
596	911	615
597	912	613
598	914	611
599	915	610
600	916	608
601	917	606
602	919	605
603	920	603
604	921	601
605	922	600
606	924	598
607	925	596
608	926	594
609	928	593
610	929	591
611	930	589
612	931	588
613	932	586
614	934	584
615	935	583
616	936	581
617	937	579
618	939	578
619	940	576
620	941	574
621	942	572
622	943	571
623	945	569
624	946	567
625	947	566
626	948	564
627	950	562
628	951	561
629	952	559
630	953	557
631	955	556
632	956	554
633	957	552
634	958	551
635	959	549
636	961	547
637	962	545
638	963	544
639	964	542
640	966	541
641	967	539
642	968	537
643	970	536
644	971	534
645	972	532
646	973	531
647	975	529
648	976	528
649	977	526
650	978	524
651	980	523
652	981	521
653	982	519
654	989	521
655	990	519
656	991	517
657	993	516
658	994	514
659	995	512
660	997	511
661	998	509
662	999	507
663	1000	506
664	1001	504
665	1003	503
666	1004	501
667	1006	499
668	1007	498
669	1008	496
670	1009	495
671	1010	493
672	1011	491
673	1013	490
674	1014	488
675	1015	486
676	1016	485
677	1018	483
678	1019	481
679	1020	480
680	1021	478
681	1022	476
682	1024	475
683	1025	473
684	1026	472
685	1028	470
686	1029	469
687	1030	467
688	1032	465
689	1033	464
690	1034	462
691	1035	461
692	1037	459
693	1038	457
694	1039	456
695	1041	454
696	1042	453
697	1043	451
698	1044	449
699	1046	448
700	1047	446
701	1048	445
702	1049	443
703	1051	441
704	1052	440
705	1053	438
706	1055	437
707	1056	435
708	1057	434
709	1059	432
710	1060	430
711	1061	429
712	1062	427
713	1064	426
714	1065	424
715	1066	423
716	1068	421
717	1069	420
718	1070	418
719	1072	416
720	1073	415
721	1074	413
722	1075	412
723	1077	410
724	1078	409
725	1079	407
726	1081	405
727	1082	404
728	1083	402
729	1084	401
730	1086	399
731	1087	398
732	1088	396
733	1090	395
734	1091	393
735	1092	391
736	1093	390
737	1095	388
738	1096	387
739	1098	385
740	1099	384
741	1100	382
742	1101	380
743	1102	379
744	1104	377
745	1105	376
746	1106	374
747	1108	373
748	1111	372
749	1112	370
750	1114	369
751	1118	368
752	1120	367
753	1121	366
754	1123	364
755	1124	363
756	1126	361
757	1128	360
758	1129	358
759	1131	357
760	1132	355
761	1134	354
762	1135	352
763	1137	351
764	1138	349
765	1140	348
766	1142	346
767	1143	345
768	1145	344
769	1146	342
770	1148	341
771	1150	339
772	1151	338
773	1153	336
774	1155	335
775	1157	333
776	1158	332
777	1159	330
778	1161	329
779	1162	327
780	1163	326
781	1165	324
782	1166	323
783	1167	321
784	1169	320
785	1171	319
786	1174	317
787	1176	316
788	1178	315
789	1180	313
790	1181	312
791	1182	310
792	1184	309
793	1186	307
794	1187	306
795	1188	304
796	1190	303
797	1191	301
798	1193	300
799	1194	298
800	1195	296
801	1196	295
802	1197	293
803	1199	292
804	1200	290
805	1202	289
806	1203	287
807	1204	286
808	1205	284
809	1207	283
810	1208	281
811	1210	280
812	1211	278
813	1213	277
814	1214	275
815	1216	274
816	1217	272
817	1218	271
818	1220	269
819	1223	268
820	1224	267
821	1226	265
822	1227	264
823	1229	262
824	1230	261
825	1231	259
826	1233	257
827	1234	256
828	1236	254
829	1237	253
830	1238	251
831	1240	250
832	1241	248
833	1242	247
834	1243	245
835	1244	244
836	1246	242
837	1247	241
838	1249	239
839	1250	238
840	1251	236
841	1253	235
842	1255	233
843	1256	232
844	1257	230
845	1259	229
846	1260	227
847	1262	226
848	1263	224
849	1265	223
850	1266	221
851	1268	220
852	1269	218
853	1270	217
854	1272	215
855	1273	214
856	1275	212
857	1276	211
858	1278	209
859	1279	208
860	1280	206
861	1281	205
862	1282	203
863	1283	202
864	1285	200
865	1286	199
866	1287	197
867	1288	195
868	1290	194
869	1291	192
870	1292	191
871	1293	189
872	1294	188
873	1295	186
874	1297	185
875	1298	183
876	1299	182
877	1300	180
878	1301	179
879	1303	177
880	1304	176
881	1305	174
882	1306	173
883	1307	171
884	1309	170
885	1310	168
886	1311	167
887	1312	165
888	1313	164
889	1314	162
890	1316	161
891	1317	159
892	1318	158
893	1319	156
894	1321	155
895	1323	153
896	1324	152
897	1325	150
898	1326	149
899	1328	147
900	1329	146
901	1330	144
902	1331	143
903	1332	141
904	1334	140
905	1335	138
906	1336	137
907	1337	135
908	1339	134
909	1340	132
910	1341	131
911	1342	129
912	1344	128
913	1345	126
914	1347	125
915	1348	123
916	1349	122
917	1350	120
918	1351	119
919	1353	117
920	1354	116
921	1355	114
922	1356	113
923	1357	111
924	1358	110
925	1360	108
926	1361	107
927	1362	105
928	1363	104
929	1365	102
930	1366	101
931	1367	99
932	1368	98
933	1369	96
934	1371	95
935	1372	93
936	1373	92
937	1375	90
938	1376	89
939	1377	87
940	1378	86
941	1380	84
942	1381	83
943	1382	82
944	1383	80
945	1384	79
946	1386	77
947	1387	76
948	1388	74
949	1390	73
950	1391	71
951	1392	70
952	1393	68
953	1395	67
954	1396	65
955	1397	64
956	1399	62
957	1400	61
958	1401	59
959	1402	58
960	1403	56
961	1405	55
962	1406	54
963	1407	52
964	1408	51
965	1410	49
966	1411	48
967	1412	46
968	1413	45
969	1414	43
970	1416	42
971	1417	40
972	1418	39
973	1419	37
974	1421	36
975	1422	34
976	1424	33
977	1425	32
978	1426	30
979	1428	29
980	1429	27
981	1430	26
982	1432	24
983	1433	23
984	1434	21
985	1436	20
986	1437	18
987	1438	17
988	1439	16
989	1441	14
990	1442	13
991	1443	11
992	1444	10
993	1445	8
994	1447	7
995	1448	5
996	1449	4
997	1450	2
998	1451	1
999	1453	0
